maketxt,modeltxt,yeartxt,component_group,topic_id,topic_label,mfr_name,months_flagged,first_month,latest_month,max_complaints,avg_complaints,median_complaints,max_growth_vs_6mo_avg,avg_topic_strength,max_watchlist_score,high_confidence_months,moderate_or_higher_months,best_signal_tier
FORD,MAVERICK HYBRID,2023,ENGINE / COOLING,1,Electric power steering assist loss,FORD MOTOR COMPANY,2,2024-03-01,2024-04-01,3,3.0,3.0,,0.316,3.896,0,0,Early signal
FORD,FOCUS,2012,STEERING,10,Steering wheel binding / difficult turning issue,FORD MOTOR COMPANY,2,2020-01-01,2020-06-01,3,3.0,3.0,2.14,0.49,3.803,0,0,Early signal
FORD,F-250,2017,STEERING,12,Cruise / traction / electronic braking control issue,FORD MOTOR COMPANY,2,2020-01-01,2020-03-01,3,3.0,3.0,,0.414,3.762,0,0,Early signal
VOLKSWAGEN,GOLF,2022,POWER TRAIN,6,Transmission shifting / gear engagement issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",2,2022-08-01,2022-09-01,3,3.0,3.0,,0.517,3.689,0,0,Early signal
JEEP,GRAND CHEROKEE,2022,FUEL / PROPULSION,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",2,2025-07-01,2025-09-01,3,3.0,3.0,,0.408,3.483,0,0,Early signal
PONTIAC,G6,2006,STEERING,10,Steering wheel binding / difficult turning issue,"GENERAL MOTORS, LLC",2,2020-02-01,2020-03-01,3,3.0,3.0,,0.44,3.15,0,0,Early signal
FORD,FOCUS,2014,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,2,2020-01-01,2020-02-01,3,3.0,3.0,,0.517,3.131,0,0,Early signal
FORD,MAVERICK HYBRID,2022,FORWARD COLLISION AVOIDANCE,17,Vehicle shutoff / stall while driving issue,FORD MOTOR COMPANY,2,2024-03-01,2024-04-01,3,3.0,3.0,,0.283,3.093,0,0,Early signal
TESLA,MODEL Y,2023,SERVICE BRAKES,4,Brake pedal / braking performance issue,"TESLA, INC.",2,2023-04-01,2023-06-01,3,3.0,3.0,,0.326,3.032,0,0,Early signal
TOYOTA,TUNDRA,2022,ENGINE / COOLING,9,Fuel pump / fuel tank / leak or odor issue,TOYOTA MOTOR CORPORATION,2,2024-07-01,2024-08-01,3,3.0,3.0,,0.51,2.95,0,0,Early signal
CHEVROLET,MALIBU,2016,ELECTRICAL SYSTEM,2,Check engine light / engine fault complaints,"GENERAL MOTORS, LLC",2,2020-01-01,2020-02-01,3,3.0,3.0,,0.327,2.912,0,0,Early signal
CHRYSLER,PACIFICA,2023,AIR BAGS,3,Airbag warning / passenger airbag sensor issue,"CHRYSLER (FCA US, LLC)",2,2025-09-01,2025-10-01,3,3.0,3.0,,0.558,2.861,0,0,Early signal
HONDA,PILOT,2020,ELECTRICAL SYSTEM,8,Windshield / glass cracking issue,HONDA (AMERICAN HONDA MOTOR CO.),2,2020-07-01,2020-08-01,3,3.0,3.0,,0.458,2.767,0,0,Early signal
KIA,EV9,2024,FORWARD COLLISION AVOIDANCE,17,Vehicle shutoff / stall while driving issue,"KIA AMERICA, INC.",2,2024-09-01,2024-10-01,3,3.0,3.0,,0.426,2.744,0,0,Early signal
JEEP,WRANGLER,2017,ENGINE / COOLING,15,Oil consumption / low oil issue,"CHRYSLER (FCA US, LLC)",2,2021-01-01,2021-02-01,3,3.0,3.0,,0.561,2.502,0,0,Early signal
BMW,528I,2015,ELECTRICAL SYSTEM,2,Check engine light / engine fault complaints,"BMW OF NORTH AMERICA, LLC",2,2024-10-01,2024-11-01,3,3.0,3.0,,0.539,2.453,0,0,Early signal
BMW,528I,2015,ENGINE / COOLING,2,Check engine light / engine fault complaints,"BMW OF NORTH AMERICA, LLC",2,2024-10-01,2024-11-01,3,3.0,3.0,,0.539,2.453,0,0,Early signal
KIA,SORENTO,2014,ELECTRICAL SYSTEM,7,Door latch / lock / unintended opening issue,"KIA AMERICA, INC.",2,2020-01-01,2020-02-01,3,3.0,3.0,,0.523,2.435,0,0,Early signal
CHEVROLET,COBALT,2008,FUEL / PROPULSION,19,Tire / suspension / frame rust mixed issue,"GENERAL MOTORS, LLC",2,2020-07-01,2020-08-01,3,3.0,3.0,,0.451,2.307,0,0,Early signal
JEEP,WRANGLER,2024,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,87,87.0,87.0,87.0,0.462,29.419,1,1,High-confidence signal
JEEP,WRANGLER,2024,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,81,81.0,81.0,81.0,0.47,28.9,1,1,High-confidence signal
CHONGQING HUANSONG,750,2015,SUSPENSION,19,Tire / suspension / frame rust mixed issue,CHONGQING HUANSONG INDUSTRIES LTD.,1,2021-01-01,2021-01-01,63,63.0,63.0,,0.523,7.257,0,1,Moderate signal
JEEP,WRANGLER,2024,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,47,47.0,47.0,,0.441,7.795,0,1,Moderate signal
TESLA,MODEL 3,2022,VEHICLE SPEED CONTROL,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2022-02-01,2022-02-01,34,34.0,34.0,,0.565,8.96,0,1,Moderate signal
FORD,F-150,2024,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,FORD MOTOR COMPANY,1,2026-01-01,2026-01-01,32,32.0,32.0,,0.724,7.329,0,1,Moderate signal
JEEP,WRANGLER,2024,FUEL / PROPULSION,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,28,28.0,28.0,28.0,0.45,22.138,1,1,High-confidence signal
TESLA,MODEL 3,2022,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2022-02-01,2022-02-01,28,28.0,28.0,,0.618,8.508,0,1,Moderate signal
JEEP,WRANGLER,2024,ENGINE / COOLING,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,27,27.0,27.0,27.0,0.383,23.566,1,1,High-confidence signal
JEEP,WRANGLER,2024,ELECTRICAL SYSTEM,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,27,27.0,27.0,27.0,0.379,22.572,1,1,High-confidence signal
JEEP,WRANGLER,2024,ELECTRICAL SYSTEM,2,Check engine light / engine fault complaints,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,26,26.0,26.0,,0.364,6.646,0,1,Moderate signal
NISSAN,KICKS,2021,STRUCTURE,8,Windshield / glass cracking issue,"NISSAN NORTH AMERICA, INC.",1,2022-02-01,2022-02-01,22,22.0,22.0,,0.875,6.88,0,1,Moderate signal
TESLA,MODEL Y,2022,VEHICLE SPEED CONTROL,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2022-02-01,2022-02-01,20,20.0,20.0,15.0,0.544,21.504,1,1,High-confidence signal
FORD,TRANSIT,2020,SEATS,11,Airbag nondeployment / crash restraint issue,FORD MOTOR COMPANY,1,2023-05-01,2023-05-01,20,20.0,20.0,,0.417,4.798,0,1,Moderate signal
CHRYSLER,PACIFICA,2018,STEERING,10,Steering wheel binding / difficult turning issue,"CHRYSLER (FCA US, LLC)",1,2025-09-01,2025-09-01,19,19.0,19.0,19.0,0.686,20.642,1,1,High-confidence signal
JEEP,WRANGLER,2024,VEHICLE SPEED CONTROL,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,18,18.0,18.0,,0.443,6.573,0,1,Moderate signal
CHONGQING HUANSONG,750,2016,SUSPENSION,19,Tire / suspension / frame rust mixed issue,CHONGQING HUANSONG INDUSTRIES LTD.,1,2021-01-01,2021-01-01,18,18.0,18.0,,0.523,5.062,0,1,Moderate signal
TESLA,MODEL Y,2023,STEERING,1,Electric power steering assist loss,"TESLA, INC.",1,2023-08-01,2023-08-01,17,17.0,17.0,17.0,0.539,17.978,1,1,High-confidence signal
JEEP,WRANGLER,2024,POWER TRAIN,2,Check engine light / engine fault complaints,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,17,17.0,17.0,,0.373,5.645,0,1,Moderate signal
JEEP,WRANGLER,2024,FUEL / PROPULSION,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,15,15.0,15.0,,0.406,5.378,0,1,Moderate signal
TESLA,MODEL Y,2024,BACK OVER PREVENTION,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2024-12-01,2024-12-01,15,15.0,15.0,,0.434,4.855,0,1,Moderate signal
TESLA,MODEL 3,2022,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,"TESLA, INC.",1,2022-02-01,2022-02-01,14,14.0,14.0,,0.421,6.267,0,1,Moderate signal
TESLA,MODEL 3,2021,SERVICE BRAKES,4,Brake pedal / braking performance issue,"TESLA, INC.",1,2022-02-01,2022-02-01,13,13.0,13.0,13.0,0.5,18.466,1,1,High-confidence signal
VOLKSWAGEN,ATLAS,2021,SERVICE BRAKES,4,Brake pedal / braking performance issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2022-03-01,2022-03-01,12,12.0,12.0,,0.406,4.969,0,1,Moderate signal
CHEVROLET,COLORADO,2016,SERVICE BRAKES,4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",1,2024-04-01,2024-04-01,11,11.0,11.0,11.0,0.445,16.04,1,1,High-confidence signal
CHEVROLET,MALIBU,2018,POWER TRAIN,6,Transmission shifting / gear engagement issue,"GENERAL MOTORS, LLC",1,2023-09-01,2023-09-01,11,11.0,11.0,11.0,0.416,12.428,1,1,High-confidence signal
TESLA,MODEL 3,2018,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2022-02-01,2022-02-01,11,11.0,11.0,,0.572,6.469,0,1,Moderate signal
AUDI,A5,2020,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2025-07-01,2025-07-01,11,11.0,11.0,,0.462,4.989,0,1,Moderate signal
TESLA,MODEL Y,2024,LANE DEPARTURE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2024-12-01,2024-12-01,11,11.0,11.0,,0.424,4.172,0,1,Moderate signal
BATTLE MOTORS,LET2,2024,SERVICE BRAKES,3,Airbag warning / passenger airbag sensor issue,"BATTLE MOTORS, INC.",1,2024-11-01,2024-11-01,11,11.0,11.0,,0.481,4.128,0,1,Moderate signal
FISKER,OCEAN,2023,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,FISKER GROUP INC,1,2025-02-01,2025-02-01,10,10.0,10.0,10.0,0.328,16.876,1,1,High-confidence signal
FORD,MUSTANG MACH E,2021,ELECTRICAL SYSTEM,1,Electric power steering assist loss,FORD MOTOR COMPANY,1,2022-07-01,2022-07-01,10,10.0,10.0,10.0,0.265,16.839,1,1,High-confidence signal
CHEVROLET,MALIBU,2015,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",1,2022-10-01,2022-10-01,10,10.0,10.0,10.0,0.52,16.388,1,1,High-confidence signal
JEEP,WRANGLER,2024,POWER TRAIN,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,10,10.0,10.0,10.0,0.475,15.338,1,1,High-confidence signal
JEEP,WRANGLER,2024,FUEL / PROPULSION,2,Check engine light / engine fault complaints,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,10,10.0,10.0,,0.382,4.636,0,1,Moderate signal
SUBARU,WRX,2022,ENGINE / COOLING,15,Oil consumption / low oil issue,"SUBARU OF AMERICA, INC.",1,2023-01-01,2023-01-01,10,10.0,10.0,,0.653,4.542,0,1,Moderate signal
VOLKSWAGEN,ATLAS,2021,ELECTRICAL SYSTEM,4,Brake pedal / braking performance issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2022-03-01,2022-03-01,10,10.0,10.0,,0.372,4.396,0,1,Moderate signal
HONDA,PROLOGUE,2024,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2025-01-01,2025-01-01,10,10.0,10.0,,0.387,3.829,0,1,Moderate signal
FORD,EXPLORER,2014,VISIBILITY / WIPER,8,Windshield / glass cracking issue,FORD MOTOR COMPANY,1,2023-02-01,2023-02-01,9,9.0,9.0,9.0,0.519,19.214,0,1,Moderate signal
CHEVROLET,MALIBU,2015,VEHICLE SPEED CONTROL,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",1,2022-10-01,2022-10-01,9,9.0,9.0,9.0,0.548,16.542,0,1,Moderate signal
FORD,MUSTANG MACH E,2021,FUEL / PROPULSION,1,Electric power steering assist loss,FORD MOTOR COMPANY,1,2022-07-01,2022-07-01,9,9.0,9.0,9.0,0.264,16.246,0,1,Moderate signal
FORD,ECOSPORT,2021,POWER TRAIN,2,Check engine light / engine fault complaints,FORD MOTOR COMPANY,1,2025-04-01,2025-04-01,9,9.0,9.0,9.0,0.349,13.661,0,1,Moderate signal
HONDA,CR-V,2017,SERVICE BRAKES,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2022-02-01,2022-02-01,9,9.0,9.0,9.0,0.49,13.51,0,1,Moderate signal
HYUNDAI,IONIQ 5,2023,SERVICE BRAKES,4,Brake pedal / braking performance issue,HYUNDAI MOTOR AMERICA,1,2023-05-01,2023-05-01,9,9.0,9.0,,0.438,3.961,0,1,Moderate signal
TOYOTA,COROLLA CROSS,2023,STEERING,17,Vehicle shutoff / stall while driving issue,TOYOTA MOTOR CORPORATION,1,2023-03-01,2023-03-01,9,9.0,9.0,,0.416,3.625,0,1,Moderate signal
VOLKSWAGEN,TIGUAN,2022,ENGINE / COOLING,15,Oil consumption / low oil issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2025-07-01,2025-07-01,8,8.0,8.0,8.0,0.654,17.816,0,1,Moderate signal
FORD,EXPLORER,2016,VISIBILITY / WIPER,8,Windshield / glass cracking issue,FORD MOTOR COMPANY,1,2023-02-01,2023-02-01,8,8.0,8.0,8.0,0.477,17.261,0,1,Moderate signal
TESLA,MODEL Y,2021,FORWARD COLLISION AVOIDANCE,19,Tire / suspension / frame rust mixed issue,"TESLA, INC.",1,2022-02-01,2022-02-01,8,8.0,8.0,8.0,0.417,15.904,0,1,Moderate signal
VOLKSWAGEN,GOLF,2022,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2022-08-01,2022-08-01,8,8.0,8.0,4.8,0.532,11.829,0,1,Moderate signal
TESLA,MODEL Y,2021,LATCHES/LOCKS/LINKAGES,7,Door latch / lock / unintended opening issue,"TESLA, INC.",1,2025-09-01,2025-09-01,8,8.0,8.0,8.0,0.48,11.685,0,1,Moderate signal
FORD,EDGE,2017,BACK OVER PREVENTION,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,1,2025-10-01,2025-10-01,8,8.0,8.0,,0.667,5.385,0,1,Moderate signal
CHEVROLET,SILVERADO 1500,2019,ELECTRONIC STABILITY CONTROL (ESC),4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",1,2020-01-01,2020-01-01,8,8.0,8.0,,0.48,5.198,0,1,Moderate signal
VOLKSWAGEN,ATLAS,2021,ELECTRICAL SYSTEM,7,Door latch / lock / unintended opening issue,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2022-02-01,2022-02-01,8,8.0,8.0,,0.381,4.132,0,1,Moderate signal
TESLA,MODEL Y,2024,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"TESLA, INC.",1,2024-12-01,2024-12-01,8,8.0,8.0,,0.506,3.726,0,1,Moderate signal
FORD,ESCAPE,2024,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,FORD MOTOR COMPANY,1,2025-11-01,2025-11-01,8,8.0,8.0,,0.302,3.627,0,1,Moderate signal
HYUNDAI,PALISADE,2023,VISIBILITY / WIPER,19,Tire / suspension / frame rust mixed issue,HYUNDAI MOTOR AMERICA,1,2022-10-01,2022-10-01,8,8.0,8.0,,0.405,3.51,0,1,Moderate signal
TESLA,MODEL S,2024,LANE DEPARTURE,10,Steering wheel binding / difficult turning issue,"TESLA, INC.",1,2024-10-01,2024-10-01,8,8.0,8.0,,0.31,3.479,0,1,Moderate signal
DODGE,DURANGO,2014,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"CHRYSLER (FCA US, LLC)",1,2020-02-01,2020-02-01,8,8.0,8.0,,0.343,3.243,0,1,Moderate signal
KIA,SORENTO,2019,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"KIA AMERICA, INC.",1,2024-07-01,2024-07-01,7,7.0,7.0,7.0,0.368,17.132,0,1,Moderate signal
HYUNDAI,IONIQ 5,2024,ELECTRICAL SYSTEM,1,Electric power steering assist loss,HYUNDAI MOTOR AMERICA,1,2026-02-01,2026-02-01,7,7.0,7.0,7.0,0.356,17.017,0,1,Moderate signal
CHEVROLET,SILVERADO 1500,2024,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",1,2026-01-01,2026-01-01,7,7.0,7.0,7.0,0.465,16.962,0,1,Moderate signal
TESLA,MODEL 3,2021,FORWARD COLLISION AVOIDANCE,19,Tire / suspension / frame rust mixed issue,"TESLA, INC.",1,2022-02-01,2022-02-01,7,7.0,7.0,7.0,0.462,16.132,0,1,Moderate signal
TESLA,MODEL Y,2021,STRUCTURE,7,Door latch / lock / unintended opening issue,"TESLA, INC.",1,2025-09-01,2025-09-01,7,7.0,7.0,7.0,0.47,14.966,0,1,Moderate signal
TESLA,MODEL S,2018,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2022-02-01,2022-02-01,7,7.0,7.0,7.0,0.581,14.951,0,1,Moderate signal
CHEVROLET,SILVERADO 1500,2019,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,"GENERAL MOTORS, LLC",1,2026-01-01,2026-01-01,7,7.0,7.0,7.0,0.387,14.124,0,1,Moderate signal
JEEP,WRANGLER,2024,FORWARD COLLISION AVOIDANCE,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,7,7.0,7.0,7.0,0.421,14.055,0,1,Moderate signal
RAM,1500,2023,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,"CHRYSLER (FCA US, LLC)",1,2026-01-01,2026-01-01,7,7.0,7.0,7.0,0.357,12.427,0,1,Moderate signal
TESLA,MODEL 3,2019,LANE DEPARTURE,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2022-07-01,2022-07-01,7,7.0,7.0,7.0,0.367,11.816,0,1,Moderate signal
HONDA,PROLOGUE,2024,SERVICE BRAKES,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2025-01-01,2025-01-01,7,7.0,7.0,7.0,0.474,11.128,0,1,Moderate signal
FORD,ESCAPE,2024,LANE DEPARTURE,12,Cruise / traction / electronic braking control issue,FORD MOTOR COMPANY,1,2025-11-01,2025-11-01,7,7.0,7.0,7.0,0.295,10.307,0,1,Moderate signal
CHRYSLER,TOWN AND COUNTRY,2014,ENGINE / COOLING,15,Oil consumption / low oil issue,"CHRYSLER (FCA US, LLC)",1,2021-03-01,2021-03-01,7,7.0,7.0,7.0,0.487,10.292,0,1,Moderate signal
RAM,1500,2022,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"CHRYSLER (FCA US, LLC)",1,2025-12-01,2025-12-01,7,7.0,7.0,7.0,0.236,9.843,0,1,Moderate signal
AUDI,A6,2019,ELECTRICAL SYSTEM,1,Electric power steering assist loss,"VOLKSWAGEN GROUP OF AMERICA, INC.",1,2022-12-01,2022-12-01,7,7.0,7.0,,0.34,5.182,0,1,Moderate signal
JEEP,WRANGLER,2024,STEERING,2,Check engine light / engine fault complaints,"CHRYSLER (FCA US, LLC)",1,2025-10-01,2025-10-01,7,7.0,7.0,,0.359,4.78,0,1,Moderate signal
CHEVROLET,TRAVERSE,2014,ELECTRONIC STABILITY CONTROL (ESC),2,Check engine light / engine fault complaints,"GENERAL MOTORS, LLC",1,2020-01-01,2020-01-01,7,7.0,7.0,,0.322,4.771,0,1,Moderate signal
CHEVROLET,MALIBU,2014,ENGINE / COOLING,2,Check engine light / engine fault complaints,"GENERAL MOTORS, LLC",1,2020-01-01,2020-01-01,7,7.0,7.0,,0.512,4.604,0,1,Moderate signal
MERCEDES-BENZ,SPRINTER 2500,2019,STEERING,1,Electric power steering assist loss,"DAIMLER VANS USA, LLC",1,2020-08-01,2020-08-01,7,7.0,7.0,,0.501,4.303,0,1,Moderate signal
TOYOTA,HIGHLANDER,2018,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,TOYOTA MOTOR CORPORATION,1,2020-05-01,2020-05-01,7,7.0,7.0,,0.634,4.247,0,1,Moderate signal
GMC,SIERRA,2017,SERVICE BRAKES,4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",1,2020-02-01,2020-02-01,7,7.0,7.0,,0.515,4.242,0,1,Moderate signal
FORD,MAVERICK HYBRID,2022,POWER TRAIN,1,Electric power steering assist loss,FORD MOTOR COMPANY,1,2024-03-01,2024-03-01,7,7.0,7.0,,0.257,4.1,0,1,Moderate signal
HONDA,PROLOGUE,2024,BACK OVER PREVENTION,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2025-01-01,2025-01-01,7,7.0,7.0,,0.457,3.801,0,1,Moderate signal
FORD,F-150,2020,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,FORD MOTOR COMPANY,1,2020-10-01,2020-10-01,7,7.0,7.0,,0.574,3.717,0,1,Moderate signal
TESLA,MODEL Y,2024,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,"TESLA, INC.",1,2024-12-01,2024-12-01,7,7.0,7.0,,0.386,3.441,0,1,Moderate signal
DODGE,DURANGO,2015,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"CHRYSLER (FCA US, LLC)",1,2020-01-01,2020-01-01,7,7.0,7.0,,0.355,3.391,0,1,Moderate signal
BLUE BIRD,CONVENTIONAL,1991,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,BLUE BIRD BODY COMPANY,1,2023-04-01,2023-04-01,7,7.0,7.0,,0.446,3.358,0,1,Moderate signal
CHEVROLET,SILVERADO 1500,2021,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",1,2025-04-01,2025-04-01,6,6.0,6.0,6.0,0.388,17.258,0,1,Moderate signal
CHRYSLER,PACIFICA,2019,STEERING,10,Steering wheel binding / difficult turning issue,"CHRYSLER (FCA US, LLC)",1,2025-09-01,2025-09-01,6,6.0,6.0,6.0,0.57,17.216,0,1,Moderate signal
CHEVROLET,TAHOE,2023,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",1,2026-01-01,2026-01-01,6,6.0,6.0,6.0,0.403,15.988,0,1,Moderate signal
HYUNDAI,TUCSON,2025,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,HYUNDAI MOTOR AMERICA,1,2025-10-01,2025-10-01,6,6.0,6.0,6.0,0.414,15.546,0,1,Moderate signal
CHRYSLER,PACIFICA,2023,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-06-01,2025-06-01,6,6.0,6.0,6.0,0.455,15.081,0,1,Moderate signal
KIA,SORENTO,2019,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"KIA AMERICA, INC.",1,2024-07-01,2024-07-01,6,6.0,6.0,6.0,0.425,14.403,0,1,Moderate signal
HYUNDAI,TUCSON,2025,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,HYUNDAI MOTOR AMERICA,1,2025-11-01,2025-11-01,6,6.0,6.0,6.0,0.464,14.175,0,1,Moderate signal
TOYOTA,COROLLA,2018,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,TOYOTA MOTOR CORPORATION,1,2020-06-01,2020-06-01,6,6.0,6.0,6.0,0.574,14.17,0,1,Moderate signal
HONDA,PILOT,2021,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2022-02-01,2022-02-01,6,6.0,6.0,6.0,0.499,13.531,0,1,Moderate signal
HONDA,RIDGELINE,2019,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2024-11-01,2024-11-01,6,6.0,6.0,6.0,0.586,13.26,0,1,Moderate signal
JEEP,GRAND CHEROKEE,2023,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",1,2025-06-01,2025-06-01,6,6.0,6.0,6.0,0.388,13.209,0,1,Moderate signal
TESLA,MODEL Y,2023,VEHICLE SPEED CONTROL,4,Brake pedal / braking performance issue,"TESLA, INC.",1,2023-07-01,2023-07-01,6,6.0,6.0,4.29,0.519,13.06,0,1,Moderate signal
HYUNDAI,TUCSON,2025,FORWARD COLLISION AVOIDANCE,4,Brake pedal / braking performance issue,HYUNDAI MOTOR AMERICA,1,2025-11-01,2025-11-01,6,6.0,6.0,6.0,0.431,12.75,0,1,Moderate signal
FORD,MAVERICK HYBRID,2022,ELECTRICAL SYSTEM,2,Check engine light / engine fault complaints,FORD MOTOR COMPANY,1,2024-04-01,2024-04-01,6,6.0,6.0,6.0,0.365,12.152,0,1,Moderate signal
FORD,MAVERICK HYBRID,2022,POWER TRAIN,2,Check engine light / engine fault complaints,FORD MOTOR COMPANY,1,2024-04-01,2024-04-01,6,6.0,6.0,6.0,0.332,12.137,0,1,Moderate signal
HONDA,CR-V,2024,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2024-12-01,2024-12-01,6,6.0,6.0,6.0,0.706,12.091,0,1,Moderate signal
RAM,1500,2023,ELECTRICAL SYSTEM,18,Headlight / low beam visibility issue,"CHRYSLER (FCA US, LLC)",1,2025-12-01,2025-12-01,6,6.0,6.0,6.0,0.203,12.019,0,1,Moderate signal
FORD,MAVERICK HYBRID,2023,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,FORD MOTOR COMPANY,1,2024-04-01,2024-04-01,6,6.0,6.0,6.0,0.312,11.982,0,1,Moderate signal
CHEVROLET,SILVERADO 1500,2020,ENGINE / COOLING,2,Check engine light / engine fault complaints,"GENERAL MOTORS, LLC",1,2025-02-01,2025-02-01,6,6.0,6.0,6.0,0.418,11.975,0,1,Moderate signal
HONDA,PILOT,2017,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2022-06-01,2022-06-01,6,6.0,6.0,6.0,0.479,11.882,0,1,Moderate signal
HONDA,ACCORD,2018,ELECTRICAL SYSTEM,4,Brake pedal / braking performance issue,HONDA (AMERICAN HONDA MOTOR CO.),1,2021-12-01,2021-12-01,6,6.0,6.0,6.0,0.775,11.873,0,1,Moderate signal
